title,company,location,source,url,salary,scraped_at
Data Product Owner (m/w/d) // Remote möglich,Breuninger,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-product-owner-m-w-d-remote-m%C3%B6glich-at-breuninger-4282119985?position=3&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=lZfbAUL1lFc6cZZyL%2FU4Og%3D%3D,Not specified,2025-08-08 10:21:08.442876
DHBW-Studium Bachelor of Science - Wirtschaftsinformatik - Data Science,Württembergische Gemeinde Versicherung a.G.,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/dhbw-studium-bachelor-of-science-wirtschaftsinformatik-data-science-at-w%C3%BCrttembergische-gemeinde-versicherung-a-g-4281992331?position=4&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=FHVypxjx1qpiY%2FxVioPBgQ%3D%3D,Not specified,2025-08-08 10:21:08.442923
Senior data & analytics Consultant (m/w/d) - bundesweit,HSO,"Böblingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-analytics-consultant-m-w-d-bundesweit-at-hso-4281387797?position=5&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=KZxfUUl2%2FI%2Bzh98SyvjmGw%3D%3D,Not specified,2025-08-08 10:21:08.442968
"Data Engineer, Senior",BOOZ ALLEN HAMILTON INTERNATIONAL (U.K.) LTD,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-senior-at-booz-allen-hamilton-international-u-k-ltd-4279449963?position=7&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=JVhC%2B%2BEc8aujFucQvhLZhw%3D%3D,Not specified,2025-08-08 10:21:08.443058
Research Chair in Applied Agricultural and Food Data Science,University of Hohenheim,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/research-chair-in-applied-agricultural-and-food-data-science-at-university-of-hohenheim-4279834885?position=9&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=5woBW2Ufqil7%2F6DqP%2F%2Fjog%3D%3D,Not specified,2025-08-08 10:21:08.443145
PreMaster Programm - Data Engineering,Bosch,"Renningen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/premaster-programm-data-engineering-at-bosch-4281335463?position=11&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=pEMN1TTvnwSLhU3XQ6rJjA%3D%3D,Not specified,2025-08-08 10:21:08.443233
Duales Studium Bachelor Wirtschaftsinformatik (m/w/d),CTO GmbH,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/duales-studium-bachelor-wirtschaftsinformatik-m-w-d-at-cto-gmbh-4279814375?position=12&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=eYFZfGFpIdvQA38gFbsnjg%3D%3D,Not specified,2025-08-08 10:21:08.443278
(Senior) Analyst Market Risk Europe (m/f/d),Novelis,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-analyst-market-risk-europe-m-f-d-at-novelis-4281311049?position=13&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=lHFEECCt0ZBQQBXzJERqFw%3D%3D,Not specified,2025-08-08 10:21:08.443321
Senior Machine Learning Engineer,Enigma,"Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-machine-learning-engineer-at-enigma-4281354575?position=15&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=ULgv%2FEVKWSGbaoStGnekKQ%3D%3D,Not specified,2025-08-08 10:21:08.443407
Consultant Manufacturing MSD365 (m/w/d) - bundesweit,HSO,"Böblingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/consultant-manufacturing-msd365-m-w-d-bundesweit-at-hso-4281577833?position=16&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=DlcAwwf7WSk%2F7%2F96npvDQQ%3D%3D,Not specified,2025-08-08 10:21:08.443450
