title,company,location,source,url,salary,scraped_at,job_id
Data Analyst,mrge,Germany,LinkedIn,https://de.linkedin.com/jobs/view/data-analyst-at-mrge-4279878407?position=1&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=6V1vEz5YAhRl1OocgISboA%3D%3D,Not specified,2025-08-08 15:25:58.416428,de.linkedin.com/jobs/view/data-analyst-at-mrge-4279878407
Data Analyst,mrge,"Hamburg, Hamburg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-analyst-at-mrge-4279879069?position=2&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=ZTcKxM%2FmgJP5cY5GuPbQxw%3D%3D,Not specified,2025-08-08 15:25:58.417130,de.linkedin.com/jobs/view/data-analyst-at-mrge-4279879069
Senior Data Analyst - Microsoft Power BI & Fabric (m/w/d),IT SEMANTIC GmbH,Germany,LinkedIn,https://de.linkedin.com/jobs/view/senior-data-analyst-microsoft-power-bi-fabric-m-w-d-at-it-semantic-gmbh-4282132876?position=4&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=wvoxqDgeOgWkDk3ko0nziw%3D%3D,Not specified,2025-08-08 15:25:58.417220,de.linkedin.com/jobs/view/senior-data-analyst-microsoft-power-bi-fabric-m-w-d-at-it-semantic-gmbh-4282132876
Data Engineer & Data Analyst (all gender),ALTEN Germany,"Regensburg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-data-analyst-all-gender-at-alten-germany-4279884793?position=5&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=f6I%2F%2FFsftCg%2BHW6mtRFjZw%3D%3D,Not specified,2025-08-08 15:25:58.417263,de.linkedin.com/jobs/view/data-engineer-data-analyst-all-gender-at-alten-germany-4279884793
Data & Analytics Consultant,BAUEN+LEBEN - Ihr Baufachhandel,"Krefeld, North Rhine-Westphalia, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-analytics-consultant-at-bauen%2Bleben-ihr-baufachhandel-4282121938?position=9&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=9sVfKDMN%2F8H4Ogi7h4Qzyg%3D%3D,Not specified,2025-08-08 15:25:58.417431,de.linkedin.com/jobs/view/data-analytics-consultant-at-bauen%2Bleben-ihr-baufachhandel-4282121938
Logistics Data Analyst (m/w/d),flaschenpost SE,"Münster, North Rhine-Westphalia, Germany",LinkedIn,https://de.linkedin.com/jobs/view/logistics-data-analyst-m-w-d-at-flaschenpost-se-4264369131?position=14&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=H3Rn6XSPp4l3dFn0YnRBrw%3D%3D,Not specified,2025-08-08 15:25:58.417639,de.linkedin.com/jobs/view/logistics-data-analyst-m-w-d-at-flaschenpost-se-4264369131
Submit Your CV,SmartLoC - Smart Letter of Credit,Germany,LinkedIn,https://de.linkedin.com/jobs/view/submit-your-cv-at-smartloc-smart-letter-of-credit-4279863033?position=16&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=siB8x0FrL8UY6LJfFtE14w%3D%3D,Not specified,2025-08-08 15:25:58.417721,de.linkedin.com/jobs/view/submit-your-cv-at-smartloc-smart-letter-of-credit-4279863033
Data Engineer / Data Analyst (m/w/d) in Regensburg,Experis Deutschland,"Regensburg, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-data-analyst-m-w-d-in-regensburg-at-experis-deutschland-4281356682?position=17&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=gOxVczO3a4GIoIvQR%2Fhd9A%3D%3D,Not specified,2025-08-08 15:25:58.417763,de.linkedin.com/jobs/view/data-engineer-data-analyst-m-w-d-in-regensburg-at-experis-deutschland-4281356682
Data Senior Engineer & Analyst (f/m/div),Infineon Technologies,"Munich, Bavaria, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-senior-engineer-analyst-f-m-div-at-infineon-technologies-4281656605?position=18&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=RLw9%2FUJbd%2FN4ahuf2s2mIw%3D%3D,Not specified,2025-08-08 15:25:58.417804,de.linkedin.com/jobs/view/data-senior-engineer-analyst-f-m-div-at-infineon-technologies-4281656605
Field Analytics Analyst,Insulet Corporation,Germany,LinkedIn,https://de.linkedin.com/jobs/view/field-analytics-analyst-at-insulet-corporation-4281643881?position=22&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=MRHUjmP6cpNDoSRj4%2FuwCQ%3D%3D,Not specified,2025-08-08 15:25:58.417970,de.linkedin.com/jobs/view/field-analytics-analyst-at-insulet-corporation-4281643881
Senior Data Analyst – Growth (w/m/d),finanzen.net GmbH,"Karlsruhe, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-analyst-%E2%80%93-growth-w-m-d-at-finanzen-net-gmbh-4279873799?position=23&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=apxbY%2BB5OdpWMoj8HVOCWw%3D%3D,Not specified,2025-08-08 15:25:58.418010,de.linkedin.com/jobs/view/senior-data-analyst-%E2%80%93-growth-w-m-d-at-finanzen-net-gmbh-4279873799
Wissenschaftlicher Mitarbeiter,University of Hamburg,"Hamburg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/wissenschaftlicher-mitarbeiter-at-university-of-hamburg-4281664453?position=24&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=V%2BLB9SoTpSwtKKaxD03G2g%3D%3D,Not specified,2025-08-08 15:25:58.418052,de.linkedin.com/jobs/view/wissenschaftlicher-mitarbeiter-at-university-of-hamburg-4281664453
Credit Specialist | Data Analyst Credit B2C | Payments (m/w/d),OTTO Payments,"Hamburg, Hamburg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/credit-specialist-data-analyst-credit-b2c-payments-m-w-d-at-otto-payments-4256801901?position=26&pageNum=0&refId=ViriQid2TOiYs%2FnTTK1img%3D%3D&trackingId=7lg9CimVDjN04oJKl4VcQA%3D%3D,Not specified,2025-08-08 15:25:58.418133,de.linkedin.com/jobs/view/credit-specialist-data-analyst-credit-b2c-payments-m-w-d-at-otto-payments-4256801901
