title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
AI Consultant – Generative KI / Prompt Engineering (m/w/d) - Quereinsteiger herzlich willkommen!,mycareernow GmbH,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290214163?position=1&pageNum=0&refId=oR%2B1L%2FU071p%2F8mOFYc9YTg%3D%3D&trackingId=Aza4TCDIrq7psU089KlD1Q%3D%3D,Not specified,2025-08-23 23:05:15.972617,2025-08-23,,de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290214163
AI Consultant – Generative KI / Prompt Engineering (m/w/d) - Quereinsteiger herzlich willkommen!,mycareernow GmbH,"Waiblingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290207960?position=2&pageNum=0&refId=oR%2B1L%2FU071p%2F8mOFYc9YTg%3D%3D&trackingId=hUZe3PmXsCO0%2Ft3gsY2Ifg%3D%3D,Not specified,2025-08-23 23:05:15.972797,2025-08-23,,de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290207960
AI Consultant – Generative KI / Prompt Engineering (m/w/d) - Quereinsteiger herzlich willkommen!,mycareernow GmbH,"Sindelfingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290214169?position=3&pageNum=0&refId=oR%2B1L%2FU071p%2F8mOFYc9YTg%3D%3D&trackingId=tiZ8CrPyXw5x%2BtB%2FBxmZ%2Fw%3D%3D,Not specified,2025-08-23 23:05:15.972935,2025-08-23,,de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290214169
AI Consultant – Generative KI / Prompt Engineering (m/w/d) - Quereinsteiger herzlich willkommen!,mycareernow GmbH,"Tübingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290215007?position=4&pageNum=0&refId=oR%2B1L%2FU071p%2F8mOFYc9YTg%3D%3D&trackingId=KVHMDi3Ke9bJVo%2FiQ3aI8Q%3D%3D,Not specified,2025-08-23 23:05:15.973067,2025-08-23,,de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290215007
AI Consultant – Generative KI / Prompt Engineering (m/w/d) - Quereinsteiger herzlich willkommen!,mycareernow GmbH,"Reutlingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290214167?position=5&pageNum=0&refId=oR%2B1L%2FU071p%2F8mOFYc9YTg%3D%3D&trackingId=qwc%2B4jNvCKiclZGSCPGaNg%3D%3D,Not specified,2025-08-23 23:05:15.973195,2025-08-23,,de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290214167
AI Consultant – Generative KI / Prompt Engineering (m/w/d) - Quereinsteiger herzlich willkommen!,mycareernow GmbH,"Pforzheim, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290215006?position=6&pageNum=0&refId=oR%2B1L%2FU071p%2F8mOFYc9YTg%3D%3D&trackingId=rh5EKenkeNseIHPmKbLgkA%3D%3D,Not specified,2025-08-23 23:05:15.973323,2025-08-23,,de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290215006
AI Consultant – Generative KI / Prompt Engineering (m/w/d) - Quereinsteiger herzlich willkommen!,mycareernow GmbH,"Rottenburg, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290212262?position=7&pageNum=0&refId=oR%2B1L%2FU071p%2F8mOFYc9YTg%3D%3D&trackingId=EPpfGRrV23a5HZaVNx%2FBZQ%3D%3D,Not specified,2025-08-23 23:05:15.973452,2025-08-23,,de.linkedin.com/jobs/view/ai-consultant-%E2%80%93-generative-ki-prompt-engineering-m-w-d-quereinsteiger-herzlich-willkommen%21-at-mycareernow-gmbh-4290212262
Flutter App-Entwickler (m/w/d),ELTAKO,"Fellbach, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/flutter-app-entwickler-m-w-d-at-eltako-4287636690?position=8&pageNum=0&refId=oR%2B1L%2FU071p%2F8mOFYc9YTg%3D%3D&trackingId=xv1okfjvxHNzrnrfInxe9A%3D%3D,Not specified,2025-08-23 23:05:15.973577,2025-08-23,,de.linkedin.com/jobs/view/flutter-app-entwickler-m-w-d-at-eltako-4287636690
Cloud Entwickler AWS & Java (m/w/d),ACONEXT,"Fellbach, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/cloud-entwickler-aws-java-m-w-d-at-aconext-4290032705?position=15&pageNum=0&refId=oR%2B1L%2FU071p%2F8mOFYc9YTg%3D%3D&trackingId=7TmtxcSc2i3JztC7sP1yAQ%3D%3D,Not specified,2025-08-23 23:05:15.974460,2025-08-23,,de.linkedin.com/jobs/view/cloud-entwickler-aws-java-m-w-d-at-aconext-4290032705
Fullstack Software-Entwickler (m/w/d),TieTalent,"Ludwigsburg, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/fullstack-software-entwickler-m-w-d-at-tietalent-4290106334?position=17&pageNum=0&refId=oR%2B1L%2FU071p%2F8mOFYc9YTg%3D%3D&trackingId=B1y9DHaeYea4bVsFKE9J3w%3D%3D,Not specified,2025-08-23 23:05:15.974708,2025-08-23,,de.linkedin.com/jobs/view/fullstack-software-entwickler-m-w-d-at-tietalent-4290106334
