title,company,location,source,url,salary,scraped_at
Data Scientist FinTech (d/m/w) Berlin,The Formula Consulting,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-fintech-d-m-w-berlin-at-the-formula-consulting-4281394464?position=1&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=DVX7ccBMITpxFOyjuSmHLA%3D%3D,Not specified,2025-08-08 10:29:27.332796
Data Scientist / Data Engineer (m/w/d),StoryMachine GmbH,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-data-engineer-m-w-d-at-storymachine-gmbh-4281496725?position=2&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=jRnrRJODrVW6Ls35CL412A%3D%3D,Not specified,2025-08-08 10:29:27.333841
Consultant AI & Data Analytics / Data Science (m/w/d) in Berlin,Deloitte,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/consultant-ai-data-analytics-data-science-m-w-d-in-berlin-at-deloitte-4243056825?position=3&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=DShkNUKu5jum%2FKOMzYjyzA%3D%3D,Not specified,2025-08-08 10:29:27.333896
Senior ML Engineer,Solid Labs,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-ml-engineer-at-solid-labs-4240087496?position=4&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=kxWVtLEEa8k8Gn5P31zEIw%3D%3D,Not specified,2025-08-08 10:29:27.333945
Senior Data Scientist,GetYourGuide,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-scientist-at-getyourguide-4267290664?position=5&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=IySqlRYb3y5GhbQM5MenPQ%3D%3D,Not specified,2025-08-08 10:29:27.333990
Product Analyst (Quick Commerce),Delivery Hero,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/product-analyst-quick-commerce-at-delivery-hero-4281342702?position=6&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=YROLv4kkWYp6w1EpfQH71A%3D%3D,Not specified,2025-08-08 10:29:27.334036
Forward Deployed AI Engineer,Juna AI,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/forward-deployed-ai-engineer-at-juna-ai-4279492544?position=7&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=maqjWRl9WqxSntFdfzUs8A%3D%3D,Not specified,2025-08-08 10:29:27.334080
Senior Data Scientist,Almedia,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-scientist-at-almedia-4281909472?position=8&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=IxQw7t9a6q33mkAnL3FKrg%3D%3D,Not specified,2025-08-08 10:29:27.334124
(Senior) Machine Learning Engineer (m/f/d),Riverty,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-machine-learning-engineer-m-f-d-at-riverty-4266403134?position=9&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=aFjJF0wuaVLCUYIPOriNJA%3D%3D,Not specified,2025-08-08 10:29:27.334169
Data Analyst,Talon.One,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-analyst-at-talon-one-4277683734?position=10&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=bbb3zFFNFe9IrqrcuZpy7w%3D%3D,Not specified,2025-08-08 10:29:27.334214
"Staff Product Analyst, Platform",Bolt,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/staff-product-analyst-platform-at-bolt-4279485911?position=11&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=pRnWtmJ4jt4uTL8D1c%2FBMw%3D%3D,Not specified,2025-08-08 10:29:27.334263
"Software Engineer, Simulation",AeroVect,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/software-engineer-simulation-at-aerovect-4281932556?position=13&pageNum=0&refId=NzfyF6ZBjBIdMBZVAojRmw%3D%3D&trackingId=c1wegZu315TzZ8d4MR7BtQ%3D%3D,Not specified,2025-08-08 10:29:27.334349
