title,company,location,source,url,salary,scraped_at,job_id
(Junior) Data Scientist (all genders),DYMATRIX,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-data-scientist-all-genders-at-dymatrix-4279883821?position=1&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=8ChmHv94Q9VaHPvDn4IrZw%3D%3D,Not specified,2025-08-08 15:01:15.031938,https://de.linkedin.com/jobs/view/junior-data-scientist-all-genders-at-dymatrix-4279883821?position=1&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=8chmhv94q9vahpvdn4irzw%3d%3d
Senior Machine Learning Engineer,Enigma,"Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-machine-learning-engineer-at-enigma-4281588443?position=2&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=25%2FykzhiBQb0m7o9V08nfg%3D%3D,Not specified,2025-08-08 15:01:15.032136,https://de.linkedin.com/jobs/view/senior-machine-learning-engineer-at-enigma-4281588443?position=2&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=25%2fykzhibqb0m7o9v08nfg%3d%3d
Junior Consultant Customer Analytics (all genders),DYMATRIX,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-consultant-customer-analytics-all-genders-at-dymatrix-4279882942?position=3&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=RMlLFc8AxHheTj6wEcjWzw%3D%3D,Not specified,2025-08-08 15:01:15.032316,https://de.linkedin.com/jobs/view/junior-consultant-customer-analytics-all-genders-at-dymatrix-4279882942?position=3&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=rmllfc8axhhetj6wecjwzw%3d%3d
Senior data & analytics Consultant (m/w/d) - bundesweit,HSO,"Böblingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-analytics-consultant-m-w-d-bundesweit-at-hso-4281387797?position=4&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=oHR9xY%2FyfuaITfBMS9mJkw%3D%3D,Not specified,2025-08-08 15:01:15.032368,https://de.linkedin.com/jobs/view/senior-data-analytics-consultant-m-w-d-bundesweit-at-hso-4281387797?position=4&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=ohr9xy%2fyfuaitfbms9mjkw%3d%3d
Photonics Yield Enhancement Engineer (m/w/d),GULP – experts united,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/photonics-yield-enhancement-engineer-m-w-d-at-gulp-%E2%80%93-experts-united-4281621554?position=8&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=zlPsc%2FJmubo6odTd171m7A%3D%3D,Not specified,2025-08-08 15:01:15.032574,https://de.linkedin.com/jobs/view/photonics-yield-enhancement-engineer-m-w-d-at-gulp-%e2%80%93-experts-united-4281621554?position=8&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=zlpsc%2fjmubo6odtd171m7a%3d%3d
Pharmaberater m/w/d  Impfstoffe,IQVIA,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/pharmaberater-m-w-d-impfstoffe-at-iqvia-4281673233?position=10&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=0mXQeEiMYYDgEKRqcE%2FxwA%3D%3D,Not specified,2025-08-08 15:01:15.032685,https://de.linkedin.com/jobs/view/pharmaberater-m-w-d-impfstoffe-at-iqvia-4281673233?position=10&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=0mxqeeimyydgekrqce%2fxwa%3d%3d
Sports Data Consultant (all genders),adesso SE,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/sports-data-consultant-all-genders-at-adesso-se-4151471750?position=11&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=4pfVfyYUigB%2F%2BMWuy1KFVQ%3D%3D,Not specified,2025-08-08 15:01:15.032734,https://de.linkedin.com/jobs/view/sports-data-consultant-all-genders-at-adesso-se-4151471750?position=11&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=4pfvfyyuigb%2f%2bmwuy1kfvq%3d%3d
Data Product Owner (m/w/d) // Remote möglich,Breuninger,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-product-owner-m-w-d-remote-m%C3%B6glich-at-breuninger-4282119985?position=12&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=QuUteLgI7acKM1psgwNUxg%3D%3D,Not specified,2025-08-08 15:01:15.032783,https://de.linkedin.com/jobs/view/data-product-owner-m-w-d-remote-m%c3%b6glich-at-breuninger-4282119985?position=12&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=quutelgi7ackm1psgwnuxg%3d%3d
Data Product Owner (m/w/d) // Remote möglich,Breuninger,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-product-owner-m-w-d-remote-m%C3%B6glich-at-breuninger-4282121793?position=13&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=QAnY3WzcIq9%2BPpPPFq7FGg%3D%3D,Not specified,2025-08-08 15:01:15.032832,https://de.linkedin.com/jobs/view/data-product-owner-m-w-d-remote-m%c3%b6glich-at-breuninger-4282121793?position=13&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=qany3wzciq9%2bppppfq7fgg%3d%3d
Senior Consultant Microsoft OpenAI (all genders),adesso SE,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-consultant-microsoft-openai-all-genders-at-adesso-se-3736253841?position=14&pageNum=0&refId=HO3cAHxPIu3fAr0H4HNkIg%3D%3D&trackingId=615ZOKXNcqxPzZKCs73LEQ%3D%3D,Not specified,2025-08-08 15:01:15.032880,https://de.linkedin.com/jobs/view/senior-consultant-microsoft-openai-all-genders-at-adesso-se-3736253841?position=14&pagenum=0&refid=ho3cahxpiu3far0h4hnkig%3d%3d&trackingid=615zokxncqxpzzkcs73leq%3d%3d
