title,company,location,source,url,salary,scraped_at,posted_at,description,job_id
Senior Data Scientist,1inch,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/senior-data-scientist-at-1inch-4313221956?position=1&pageNum=0&refId=KcgcJSdJnT8PcqouvTCo8g%3D%3D&trackingId=8DN7PxsJPvc1yJEanozllQ%3D%3D,Not specified,2025-10-10 18:00:00.497215,2025-10-10,,de.linkedin.com/jobs/view/senior-data-scientist-at-1inch-4313221956
"Staff Machine Learning Engineer (India based, relocation provided)",Agoda,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/staff-machine-learning-engineer-india-based-relocation-provided-at-agoda-4302598471?position=6&pageNum=0&refId=KcgcJSdJnT8PcqouvTCo8g%3D%3D&trackingId=OqDXVHVDPDJenRQOHJWAMQ%3D%3D,Not specified,2025-10-10 18:00:00.497982,2025-10-10,,de.linkedin.com/jobs/view/staff-machine-learning-engineer-india-based-relocation-provided-at-agoda-4302598471
Full Stack Engineer,Optimus Search,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/full-stack-engineer-at-optimus-search-4310718563?position=10&pageNum=0&refId=KcgcJSdJnT8PcqouvTCo8g%3D%3D&trackingId=D4FrpvGxWfo7ankIOErL0Q%3D%3D,Not specified,2025-10-10 18:00:00.498546,2025-10-10,,de.linkedin.com/jobs/view/full-stack-engineer-at-optimus-search-4310718563
Strategic Account Technology,Microsoft,"Baden-Württemberg, Deutschland",LinkedIn,https://de.linkedin.com/jobs/view/strategic-account-technology-at-microsoft-4312969654?position=11&pageNum=0&refId=KcgcJSdJnT8PcqouvTCo8g%3D%3D&trackingId=LI0nWxs5Fj2f2lCL0dgaCQ%3D%3D,Not specified,2025-10-10 18:00:00.498681,2025-10-10,,de.linkedin.com/jobs/view/strategic-account-technology-at-microsoft-4312969654
Full Stack Engineer,Optimus Search,Pforzheim,LinkedIn,https://de.linkedin.com/jobs/view/full-stack-engineer-at-optimus-search-4310710749?position=12&pageNum=0&refId=KcgcJSdJnT8PcqouvTCo8g%3D%3D&trackingId=NJZdGshsaQe0%2BLEcyfxqgg%3D%3D,Not specified,2025-10-10 18:00:00.498818,2025-10-10,,de.linkedin.com/jobs/view/full-stack-engineer-at-optimus-search-4310710749
Full Stack Engineer,Optimus Search,Ludwigsburg,LinkedIn,https://de.linkedin.com/jobs/view/full-stack-engineer-at-optimus-search-4310709754?position=13&pageNum=0&refId=KcgcJSdJnT8PcqouvTCo8g%3D%3D&trackingId=wRslGBEaenKHx34rncrWXQ%3D%3D,Not specified,2025-10-10 18:00:00.498953,2025-10-10,,de.linkedin.com/jobs/view/full-stack-engineer-at-optimus-search-4310709754
Master@IBM I/O Configuration Insights (f/m/x),IBM,Böblingen,LinkedIn,https://de.linkedin.com/jobs/view/master%40ibm-i-o-configuration-insights-f-m-x-at-ibm-4310700067?position=15&pageNum=0&refId=KcgcJSdJnT8PcqouvTCo8g%3D%3D&trackingId=r5Y6cssggD%2F%2BYCKIqlEHgg%3D%3D,Not specified,2025-10-10 18:00:00.499226,2025-10-10,,de.linkedin.com/jobs/view/master%40ibm-i-o-configuration-insights-f-m-x-at-ibm-4310700067
"All-Source Intelligence Analyst, Senior",Booz Allen Hamilton,Stuttgart,LinkedIn,https://de.linkedin.com/jobs/view/all-source-intelligence-analyst-senior-at-booz-allen-hamilton-4312923530?position=16&pageNum=0&refId=KcgcJSdJnT8PcqouvTCo8g%3D%3D&trackingId=%2FdcDkvUdRE3c7qskX%2BNsIA%3D%3D,Not specified,2025-10-10 18:00:00.499363,2025-10-10,,de.linkedin.com/jobs/view/all-source-intelligence-analyst-senior-at-booz-allen-hamilton-4312923530
Master@IBM I/O Configuration Insights (f/m/x),IBM,Ehningen,LinkedIn,https://de.linkedin.com/jobs/view/master%40ibm-i-o-configuration-insights-f-m-x-at-ibm-4310285378?position=17&pageNum=0&refId=KcgcJSdJnT8PcqouvTCo8g%3D%3D&trackingId=DAmACljn9I6IoGEIyHzhdg%3D%3D,Not specified,2025-10-10 18:00:00.499497,2025-10-10,,de.linkedin.com/jobs/view/master%40ibm-i-o-configuration-insights-f-m-x-at-ibm-4310285378
Data Scientist (m/w/d) (Analytics & Dashboarding) im Consulting,DRIVE Consulting,Berlin,LinkedIn,https://de.linkedin.com/jobs/view/data-scientist-m-w-d-analytics-dashboarding-im-consulting-at-drive-consulting-4290795837?position=1&pageNum=0&refId=QG2AphYUHPdIuu%2FuZirisA%3D%3D&trackingId=7W6dNOBENehIVLQ6utUxvQ%3D%3D,Not specified,2025-10-10 18:00:03.498415,2025-10-10,,de.linkedin.com/jobs/view/data-scientist-m-w-d-analytics-dashboarding-im-consulting-at-drive-consulting-4290795837
